epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,6.40782,2.54399,4.60654,0.00378,0.11497,0.22975,0.01522,0.0062,2.36701,4.07559,0.003,3.31276e-05,3.31276e-05,0.0669056
2,12.7451,2.36596,3.24919,0.00326,0.08389,0.24131,0.01808,0.0065,2.55573,4.07869,0.00331,6.646e-05,6.646e-05,0.0336056
3,21.1103,2.26164,2.94805,0.0032,0.07166,0.35575,0.03452,0.01251,2.40834,3.74303,0.00309,9.97887e-05,9.97887e-05,0.00030555
4,30.3683,2.22062,3.16278,0.00295,0.0716,0.39542,0.03857,0.01556,2.20474,3.66592,0.00284,9.99875e-05,9.99875e-05,9.99875e-05
5,40.121,2.29382,3.08499,0.00286,0.06297,0.43149,0.04722,0.0195,2.1622,3.49887,0.00275,9.99778e-05,9.99778e-05,9.99778e-05
6,50.6486,2.2004,2.91199,0.00284,0.05831,0.49465,0.05374,0.02094,2.22406,3.28358,0.00275,9.99653e-05,9.99653e-05,9.99653e-05
7,62.6324,2.12,2.79324,0.00296,0.05404,0.50055,0.0534,0.01842,2.3823,3.18235,0.00302,9.995e-05,9.995e-05,9.995e-05
8,69.0736,2.17327,2.79381,0.00282,0.05052,0.49392,0.05534,0.01809,2.4716,3.14973,0.00314,9.9932e-05,9.9932e-05,9.9932e-05
9,77.1446,2.10349,2.59576,0.00291,0.05189,0.5242,0.06049,0.02019,2.427,3.04169,0.00305,9.99112e-05,9.99112e-05,9.99112e-05
10,83.5947,2.11101,2.62021,0.00276,0.05714,0.55924,0.06463,0.02215,2.32109,2.98656,0.00293,9.98876e-05,9.98876e-05,9.98876e-05
11,91.4026,2.09515,2.54669,0.00293,0.05953,0.5995,0.07848,0.02552,2.33599,2.88369,0.00296,9.98613e-05,9.98613e-05,9.98613e-05
12,101.05,2.02112,2.44846,0.00267,0.06217,0.5947,0.09023,0.02899,2.34541,2.86637,0.00292,9.98322e-05,9.98322e-05,9.98322e-05
13,109.509,1.97765,2.46208,0.00261,0.06368,0.59563,0.09619,0.0311,2.34102,2.79653,0.00292,9.98003e-05,9.98003e-05,9.98003e-05
14,118.549,1.93048,2.48849,0.00263,0.06438,0.60026,0.10329,0.0329,2.3466,2.81606,0.00295,9.97656e-05,9.97656e-05,9.97656e-05
15,127.417,1.90376,2.38251,0.00262,0.06174,0.60151,0.10465,0.02967,2.48961,2.83444,0.00315,9.97282e-05,9.97282e-05,9.97282e-05
16,135.042,1.98438,2.39306,0.00255,0.11382,0.38299,0.1063,0.02909,2.51906,2.75359,0.00325,9.96881e-05,9.96881e-05,9.96881e-05
17,141.544,1.95784,2.34323,0.00258,0.14368,0.33007,0.11643,0.0318,2.47878,2.63544,0.00318,9.96452e-05,9.96452e-05,9.96452e-05
18,150.091,1.93398,2.25244,0.00252,0.11245,0.47573,0.12165,0.03247,2.50047,2.64591,0.00319,9.95995e-05,9.95995e-05,9.95995e-05
