epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,6.42956,2.53116,4.57442,0.00365,0.02952,0.1341,0.00414,0.00183,2.5001,4.42855,0.00301,3.31276e-05,3.31276e-05,0.0669056
2,12.7585,2.27304,3.15478,0.00331,0.07118,0.39602,0.05252,0.02124,2.24311,3.81121,0.00281,6.646e-05,6.646e-05,0.0336056
3,19.3435,2.23926,2.99962,0.00322,0.07536,0.4045,0.05249,0.01662,2.418,3.73972,0.00316,9.97887e-05,9.97887e-05,0.00030555
4,25.7508,2.24138,2.94243,0.00299,0.06832,0.44032,0.05927,0.01961,2.34158,3.53191,0.00302,9.99875e-05,9.99875e-05,9.99875e-05
5,32.268,2.11107,2.8624,0.00298,0.06944,0.45439,0.06198,0.02186,2.32473,3.48227,0.00296,9.99778e-05,9.99778e-05,9.99778e-05
6,38.8837,2.13763,2.87097,0.00289,0.06915,0.49094,0.07351,0.02723,2.31531,3.29908,0.0029,9.99653e-05,9.99653e-05,9.99653e-05
7,45.4169,2.17198,2.8511,0.00288,0.06774,0.50202,0.07992,0.02801,2.36871,3.21515,0.00296,9.995e-05,9.995e-05,9.995e-05
8,51.8931,2.09412,2.68632,0.00303,0.06256,0.50387,0.07387,0.02432,2.47431,3.0982,0.00317,9.9932e-05,9.9932e-05,9.9932e-05
9,58.5502,2.05228,2.67085,0.00277,0.16247,0.31944,0.08652,0.03032,2.39312,2.91706,0.00304,9.99112e-05,9.99112e-05,9.99112e-05
10,65.0721,2.0709,2.69742,0.00276,0.15486,0.37788,0.09334,0.0347,2.33242,2.78311,0.00294,9.98876e-05,9.98876e-05,9.98876e-05
11,71.6081,2.08149,2.66284,0.00265,0.07253,0.58288,0.10057,0.03629,2.36974,2.78267,0.00303,9.98613e-05,9.98613e-05,9.98613e-05
12,78.287,2.15882,2.61059,0.00279,0.07053,0.58344,0.10725,0.03532,2.48457,2.75199,0.00315,9.98322e-05,9.98322e-05,9.98322e-05
13,84.8458,2.01846,2.45962,0.00272,0.07471,0.6009,0.11671,0.03874,2.49159,2.73666,0.00314,9.98003e-05,9.98003e-05,9.98003e-05
14,91.4314,2.01171,2.41365,0.00283,0.08061,0.61515,0.12634,0.04393,2.39108,2.7527,0.003,9.97656e-05,9.97656e-05,9.97656e-05
15,97.9116,2.00512,2.34357,0.00266,0.07728,0.63192,0.13617,0.04629,2.39009,2.70574,0.00305,9.97282e-05,9.97282e-05,9.97282e-05
16,104.446,2.0086,2.28055,0.00256,0.07318,0.6318,0.1312,0.04065,2.39412,2.71138,0.00309,9.96881e-05,9.96881e-05,9.96881e-05
17,111.159,1.99878,2.24447,0.00255,0.07781,0.63946,0.11182,0.03616,2.38418,2.69901,0.00305,9.96452e-05,9.96452e-05,9.96452e-05
18,117.605,1.94767,2.33555,0.00262,0.07587,0.62807,0.09923,0.02869,2.46246,2.75768,0.00316,9.95995e-05,9.95995e-05,9.95995e-05
19,124.063,1.97353,2.22866,0.00265,0.07106,0.62103,0.10751,0.02999,2.56753,2.72377,0.00334,9.95511e-05,9.95511e-05,9.95511e-05
20,130.611,1.9934,2.15073,0.00243,0.07248,0.64372,0.11515,0.03528,2.49756,2.5968,0.00323,9.94999e-05,9.94999e-05,9.94999e-05
21,137.082,1.97394,2.19568,0.00258,0.06937,0.66053,0.13029,0.03995,2.46855,2.5244,0.00316,9.9446e-05,9.9446e-05,9.9446e-05
22,143.557,1.9528,2.02458,0.00251,0.18355,0.31058,0.13391,0.03907,2.5068,2.52767,0.0032,9.93893e-05,9.93893e-05,9.93893e-05
23,150.095,1.98861,2.1435,0.00256,0.23436,0.29392,0.16265,0.05399,2.48291,2.35648,0.00317,9.93299e-05,9.93299e-05,9.93299e-05
