epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,6.34893,2.51294,4.38322,0.00368,0.11653,0.3143,0.02773,0.01108,2.24509,3.86077,0.00274,3.31276e-05,3.31276e-05,0.0669056
2,12.7265,2.4532,3.40588,0.0035,0.07407,0.29272,0.01642,0.00363,3.02482,3.79665,0.00406,6.646e-05,6.646e-05,0.0336056
3,21.2173,2.45513,3.20023,0.0032,0.07568,0.3251,0.02042,0.00446,2.96333,3.67615,0.00399,9.97887e-05,9.97887e-05,0.00030555
4,27.9845,2.24419,3.0071,0.00309,0.08467,0.42452,0.03826,0.01091,2.61069,3.47401,0.00339,9.99875e-05,9.99875e-05,9.99875e-05
5,34.3897,2.13668,2.9068,0.00293,0.07875,0.4556,0.04665,0.01562,2.47065,3.33709,0.00317,9.99778e-05,9.99778e-05,9.99778e-05
6,47.1849,2.12647,2.91236,0.00295,0.073,0.54132,0.06254,0.02135,2.41738,3.06272,0.00307,9.99653e-05,9.99653e-05,9.99653e-05
7,55.599,2.12538,2.84669,0.00295,0.07402,0.56437,0.0662,0.02243,2.38543,3.03323,0.00307,9.995e-05,9.995e-05,9.995e-05
8,65.7236,2.10329,2.69403,0.00288,0.07887,0.58962,0.07525,0.02384,2.39991,3.03968,0.00315,9.9932e-05,9.9932e-05,9.9932e-05
9,74.266,2.0979,2.74745,0.00284,0.07922,0.60686,0.08155,0.02573,2.37954,2.98313,0.00313,9.99112e-05,9.99112e-05,9.99112e-05
10,83.2959,2.07881,2.60914,0.00271,0.08219,0.62855,0.08757,0.02901,2.2903,2.92289,0.00296,9.98876e-05,9.98876e-05,9.98876e-05
11,94.2196,2.12615,2.68628,0.0029,0.08489,0.64106,0.0893,0.03027,2.25427,2.90404,0.00287,9.98613e-05,9.98613e-05,9.98613e-05
12,104.727,2.02751,2.54138,0.00283,0.08033,0.65095,0.08929,0.02834,2.34398,2.80294,0.00299,9.98322e-05,9.98322e-05,9.98322e-05
13,113.199,1.99458,2.4943,0.00255,0.07749,0.66545,0.09275,0.02804,2.40466,2.72246,0.00307,9.98003e-05,9.98003e-05,9.98003e-05
14,120.083,1.95648,2.34047,0.0026,0.07798,0.67197,0.09466,0.02815,2.40641,2.67681,0.00311,9.97656e-05,9.97656e-05,9.97656e-05
15,126.567,2.01402,2.32937,0.00266,0.07843,0.66628,0.09358,0.02596,2.47313,2.70235,0.00325,9.97282e-05,9.97282e-05,9.97282e-05
16,133.898,2.034,2.34336,0.00259,0.07941,0.65645,0.09433,0.02555,2.52877,2.7265,0.00336,9.96881e-05,9.96881e-05,9.96881e-05
17,140.307,1.97015,2.2964,0.0026,0.0794,0.67408,0.10251,0.02891,2.49814,2.6684,0.00332,9.96452e-05,9.96452e-05,9.96452e-05
18,148.087,1.94078,2.2714,0.00257,0.07364,0.68446,0.10558,0.03086,2.50808,2.55537,0.00334,9.95995e-05,9.95995e-05,9.95995e-05
19,155.636,1.95535,2.14491,0.00255,0.07357,0.66434,0.09368,0.02612,2.56691,2.6181,0.00343,9.95511e-05,9.95511e-05,9.95511e-05
20,162.76,1.95438,2.16851,0.00249,0.07574,0.66323,0.08971,0.02501,2.55653,2.65075,0.00341,9.94999e-05,9.94999e-05,9.94999e-05
21,169.255,1.947,2.11315,0.00265,0.0747,0.66865,0.09489,0.02708,2.56119,2.53768,0.00349,9.9446e-05,9.9446e-05,9.9446e-05
22,181.375,1.94381,2.07903,0.00233,0.14589,0.40233,0.10039,0.02864,2.57129,2.40399,0.00348,9.93893e-05,9.93893e-05,9.93893e-05
23,187.95,1.93097,1.97316,0.00226,0.13511,0.42135,0.09353,0.02632,2.60721,2.47574,0.00354,9.93299e-05,9.93299e-05,9.93299e-05
24,196.45,1.89076,2.02119,0.00246,0.08044,0.64356,0.09183,0.02492,2.61971,2.57688,0.00358,9.92678e-05,9.92678e-05,9.92678e-05
25,203.395,1.94448,2.02947,0.00248,0.15012,0.33341,0.11692,0.03185,2.59956,2.418,0.00351,9.92029e-05,9.92029e-05,9.92029e-05
26,211.27,1.86243,1.93619,0.00245,0.09116,0.57146,0.10311,0.02612,2.69539,2.55279,0.00366,9.91353e-05,9.91353e-05,9.91353e-05
27,217.728,1.88786,1.97533,0.00239,0.08643,0.63687,0.10897,0.02766,2.59544,2.66882,0.00346,9.9065e-05,9.9065e-05,9.9065e-05
28,226.204,1.82617,1.926,0.00231,0.14111,0.28833,0.10469,0.02606,2.68782,2.48142,0.00363,9.8992e-05,9.8992e-05,9.8992e-05
29,233.216,1.90466,1.84768,0.00238,0.16848,0.31331,0.13321,0.03531,2.56535,2.33334,0.00343,9.89163e-05,9.89163e-05,9.89163e-05
30,245.376,1.85398,1.79076,0.0024,0.13061,0.36796,0.10508,0.02442,2.73571,2.50248,0.00379,9.88378e-05,9.88378e-05,9.88378e-05
31,251.824,1.85981,1.79992,0.00225,0.16548,0.33296,0.11961,0.02806,2.74055,2.35629,0.00378,9.87566e-05,9.87566e-05,9.87566e-05
32,260.378,1.78568,1.63053,0.00234,0.16872,0.32706,0.11163,0.02573,2.88375,2.25362,0.00405,9.86728e-05,9.86728e-05,9.86728e-05
33,266.838,1.90305,1.72651,0.00215,0.15488,0.29805,0.09568,0.02141,2.89543,2.33605,0.00408,9.85862e-05,9.85862e-05,9.85862e-05
34,273.294,1.81299,1.80088,0.00235,0.184,0.33807,0.11308,0.02598,2.75645,2.35908,0.00381,9.8497e-05,9.8497e-05,9.8497e-05
35,282.243,1.80107,1.69635,0.0022,0.21135,0.30045,0.12332,0.02781,2.83257,2.23828,0.0039,9.84051e-05,9.84051e-05,9.84051e-05
36,288.689,1.86724,1.84935,0.00224,0.22574,0.35066,0.15695,0.03936,2.75551,2.09121,0.00375,9.83105e-05,9.83105e-05,9.83105e-05
37,298.314,1.85514,1.64067,0.00216,0.20163,0.36762,0.14725,0.03621,2.68164,2.26002,0.00359,9.82132e-05,9.82132e-05,9.82132e-05
38,306.965,1.88516,1.67475,0.00231,0.18784,0.35352,0.13134,0.02861,2.85648,2.37453,0.00393,9.81133e-05,9.81133e-05,9.81133e-05
39,313.687,1.8621,1.63914,0.00226,0.21054,0.37119,0.14564,0.03471,2.74891,2.40114,0.0037,9.80107e-05,9.80107e-05,9.80107e-05
40,320.217,1.80724,1.72222,0.0022,0.24897,0.38202,0.17849,0.04663,2.67342,2.16208,0.00356,9.79054e-05,9.79054e-05,9.79054e-05
41,331.1,1.82098,1.59796,0.00232,0.25025,0.3488,0.17735,0.04207,2.82691,2.16773,0.00383,9.77975e-05,9.77975e-05,9.77975e-05
42,339.601,1.85323,1.57675,0.00226,0.27243,0.42579,0.19428,0.0503,2.66773,2.06255,0.00357,9.7687e-05,9.7687e-05,9.7687e-05
43,348.826,1.85856,1.56983,0.00229,0.28104,0.42967,0.20339,0.05363,2.61508,1.99396,0.00348,9.75738e-05,9.75738e-05,9.75738e-05
44,359.375,1.83633,1.61854,0.00234,0.23862,0.38954,0.17343,0.04074,2.81898,2.05497,0.00393,9.7458e-05,9.7458e-05,9.7458e-05
45,367.985,1.807,1.4701,0.00233,0.26144,0.40375,0.19139,0.04845,2.71053,2.01194,0.00372,9.73396e-05,9.73396e-05,9.73396e-05
46,374.538,1.83209,1.52706,0.00231,0.24521,0.37393,0.17048,0.0391,2.823,2.15558,0.00395,9.72186e-05,9.72186e-05,9.72186e-05
47,383.55,1.73275,1.44232,0.00219,0.27065,0.39426,0.19399,0.04751,2.78322,2.00783,0.00384,9.7095e-05,9.7095e-05,9.7095e-05
48,393.692,1.76448,1.4184,0.00208,0.29437,0.44076,0.24126,0.06405,2.63377,1.95103,0.0036,9.69688e-05,9.69688e-05,9.69688e-05
49,401.603,1.81403,1.60685,0.00233,0.27228,0.37272,0.21737,0.05453,2.71907,2.16187,0.0038,9.68399e-05,9.68399e-05,9.68399e-05
50,408.065,1.80832,1.53155,0.00217,0.27263,0.41831,0.24967,0.06957,2.60168,2.04779,0.00356,9.67085e-05,9.67085e-05,9.67085e-05
51,419.293,1.76227,1.49669,0.0023,0.27592,0.39409,0.23291,0.06063,2.72021,1.98566,0.00376,9.65746e-05,9.65746e-05,9.65746e-05
52,425.809,1.75766,1.37687,0.00204,0.30139,0.3846,0.23421,0.05888,2.74659,1.98037,0.00386,9.6438e-05,9.6438e-05,9.6438e-05
53,435.246,1.7326,1.39029,0.00214,0.31866,0.43861,0.25383,0.06402,2.69893,1.96362,0.00377,9.6299e-05,9.6299e-05,9.6299e-05
54,441.656,1.75666,1.64313,0.00217,0.29173,0.44169,0.24618,0.06042,2.74743,1.99902,0.00387,9.61573e-05,9.61573e-05,9.61573e-05
55,449.053,1.75977,1.54128,0.00204,0.28574,0.42217,0.2552,0.06858,2.67721,1.96942,0.00372,9.60131e-05,9.60131e-05,9.60131e-05
56,455.55,1.79205,1.42411,0.0022,0.34655,0.35505,0.3084,0.08073,2.73137,1.90979,0.0038,9.58664e-05,9.58664e-05,9.58664e-05
57,462.498,1.82397,1.49944,0.00229,0.28635,0.33023,0.25232,0.06087,2.90602,2.08039,0.00419,9.57172e-05,9.57172e-05,9.57172e-05
58,468.945,1.75368,1.47733,0.00213,0.29019,0.36793,0.28599,0.08716,2.69471,2.12028,0.0038,9.55655e-05,9.55655e-05,9.55655e-05
59,481.213,1.77816,1.43286,0.00216,0.2854,0.41653,0.28391,0.07958,2.71305,2.10263,0.00384,9.54112e-05,9.54112e-05,9.54112e-05
60,489.415,1.79171,1.41825,0.00218,0.30742,0.44204,0.27807,0.07346,2.71758,2.05589,0.00379,9.52545e-05,9.52545e-05,9.52545e-05
61,496.176,1.79507,1.41429,0.0022,0.30823,0.46439,0.26337,0.07207,2.66035,1.9952,0.0036,9.50953e-05,9.50953e-05,9.50953e-05
62,503.132,1.75534,1.34241,0.00214,0.32727,0.46084,0.2686,0.07063,2.69728,1.91353,0.00366,9.49336e-05,9.49336e-05,9.49336e-05
63,512.943,1.79196,1.35545,0.00213,0.30501,0.39613,0.24691,0.05895,2.87773,1.89978,0.00406,9.47695e-05,9.47695e-05,9.47695e-05
64,519.413,1.74957,1.41118,0.00209,0.30904,0.44341,0.28093,0.07746,2.6464,1.89691,0.00361,9.46028e-05,9.46028e-05,9.46028e-05
65,528.181,1.76961,1.34465,0.00201,0.35793,0.37753,0.32103,0.0908,2.65293,1.8989,0.00364,9.44338e-05,9.44338e-05,9.44338e-05
66,537.373,1.76141,1.32013,0.00206,0.32443,0.36845,0.27882,0.07209,2.85401,1.95441,0.00408,9.42623e-05,9.42623e-05,9.42623e-05
67,544.7,1.6939,1.25694,0.00199,0.27799,0.43753,0.29184,0.08774,2.63853,1.97849,0.00363,9.40884e-05,9.40884e-05,9.40884e-05
68,551.125,1.74669,1.29626,0.00206,0.26489,0.40354,0.24151,0.0592,2.86105,2.00821,0.00405,9.39121e-05,9.39121e-05,9.39121e-05
69,559.529,1.68141,1.26377,0.00208,0.29147,0.40687,0.24492,0.06112,2.80261,2.02502,0.00394,9.37334e-05,9.37334e-05,9.37334e-05
70,565.987,1.73213,1.27939,0.00204,0.34695,0.41804,0.30155,0.08682,2.64875,1.9047,0.00365,9.35523e-05,9.35523e-05,9.35523e-05
71,572.452,1.71838,1.38418,0.00198,0.30608,0.41884,0.27739,0.07502,2.71574,2.01832,0.00376,9.33688e-05,9.33688e-05,9.33688e-05
72,579.537,1.71763,1.23645,0.00204,0.39079,0.35299,0.32608,0.09446,2.66579,1.91634,0.00361,9.3183e-05,9.3183e-05,9.3183e-05
73,587.293,1.70098,1.28544,0.00217,0.32914,0.36474,0.31941,0.09245,2.60892,1.94613,0.00349,9.29948e-05,9.29948e-05,9.29948e-05
74,593.789,1.75538,1.29122,0.00206,0.31369,0.3984,0.31901,0.08103,2.81309,1.93875,0.00396,9.28042e-05,9.28042e-05,9.28042e-05
75,602.353,1.7115,1.28368,0.00208,0.3445,0.35703,0.29806,0.08242,2.71178,1.95041,0.00375,9.26113e-05,9.26113e-05,9.26113e-05
76,609.386,1.69812,1.21875,0.00192,0.37671,0.38908,0.35366,0.09657,2.75189,1.88774,0.00385,9.24161e-05,9.24161e-05,9.24161e-05
77,616.985,1.72919,1.37852,0.00208,0.38618,0.3838,0.33699,0.08757,2.8403,1.90789,0.00405,9.22186e-05,9.22186e-05,9.22186e-05
78,623.517,1.73515,1.30519,0.00217,0.37565,0.43571,0.31083,0.09191,2.56996,1.96455,0.00348,9.20188e-05,9.20188e-05,9.20188e-05
79,632.094,1.79516,1.31522,0.00214,0.36833,0.45627,0.31884,0.08437,2.73635,1.93614,0.00379,9.18167e-05,9.18167e-05,9.18167e-05
80,638.85,1.71413,1.25081,0.00195,0.41621,0.42367,0.37307,0.09844,2.743,1.86988,0.00376,9.16124e-05,9.16124e-05,9.16124e-05
81,649.439,1.72285,1.26359,0.00207,0.34289,0.41611,0.27275,0.07062,2.69719,1.99644,0.00364,9.14058e-05,9.14058e-05,9.14058e-05
82,655.861,1.65788,1.26213,0.00205,0.32905,0.39811,0.25568,0.06052,2.8365,2.03029,0.00394,9.11969e-05,9.11969e-05,9.11969e-05
83,664.555,1.76075,1.26306,0.00213,0.4038,0.42656,0.34144,0.08773,2.78217,1.88311,0.00387,9.09858e-05,9.09858e-05,9.09858e-05
84,670.984,1.68196,1.20105,0.00194,0.39962,0.42314,0.3437,0.09563,2.67719,1.91288,0.00369,9.07725e-05,9.07725e-05,9.07725e-05
85,679.05,1.67482,1.21898,0.00205,0.33036,0.36533,0.26985,0.06318,2.90964,2.05794,0.00417,9.0557e-05,9.0557e-05,9.0557e-05
86,686.03,1.66609,1.18988,0.00209,0.34759,0.43366,0.36554,0.09518,2.73456,1.92924,0.00381,9.03393e-05,9.03393e-05,9.03393e-05
87,692.493,1.66406,1.21555,0.00206,0.38558,0.40972,0.36325,0.09784,2.70996,1.91023,0.00375,9.01194e-05,9.01194e-05,9.01194e-05
88,699.656,1.72176,1.25875,0.0021,0.32875,0.39698,0.28413,0.07262,2.83541,1.9239,0.00403,8.98973e-05,8.98973e-05,8.98973e-05
89,706.177,1.64414,1.20355,0.00205,0.42132,0.42375,0.36188,0.10051,2.72824,1.81232,0.00383,8.96731e-05,8.96731e-05,8.96731e-05
90,713.442,1.72978,1.21137,0.00202,0.40548,0.40999,0.3505,0.09952,2.66971,1.87654,0.00368,8.94467e-05,8.94467e-05,8.94467e-05
91,719.879,1.68748,1.20787,0.00198,0.36299,0.45759,0.3231,0.08385,2.7677,1.90513,0.00378,8.92183e-05,8.92183e-05,8.92183e-05
92,730.644,1.68788,1.2042,0.00194,0.34559,0.43791,0.29248,0.0809,2.62649,2.00034,0.00349,8.89877e-05,8.89877e-05,8.89877e-05
93,737.063,1.65607,1.13346,0.00195,0.43931,0.38111,0.33644,0.0861,2.78629,1.92474,0.00387,8.8755e-05,8.8755e-05,8.8755e-05
94,744.614,1.64359,1.21809,0.00207,0.43208,0.37143,0.34746,0.08431,2.84543,1.93438,0.00405,8.85202e-05,8.85202e-05,8.85202e-05
95,751.314,1.69329,1.17407,0.00206,0.35513,0.38382,0.27332,0.07463,2.70436,2.09158,0.00373,8.82834e-05,8.82834e-05,8.82834e-05
96,757.772,1.63473,1.10505,0.00186,0.48054,0.36636,0.39167,0.1077,2.69643,1.9082,0.00373,8.80445e-05,8.80445e-05,8.80445e-05
97,764.981,1.64995,1.1432,0.00198,0.45614,0.38813,0.41522,0.12159,2.63333,1.86056,0.00365,8.78036e-05,8.78036e-05,8.78036e-05
98,776.271,1.64947,1.14563,0.00205,0.41362,0.35078,0.32186,0.07778,2.84999,2.0246,0.00408,8.75606e-05,8.75606e-05,8.75606e-05
99,782.967,1.66717,1.13592,0.00191,0.37879,0.39485,0.3037,0.08087,2.69541,2.02023,0.00375,8.73157e-05,8.73157e-05,8.73157e-05
100,789.936,1.69491,1.12639,0.00204,0.38711,0.35982,0.27623,0.06634,2.82304,2.10094,0.004,8.70687e-05,8.70687e-05,8.70687e-05
101,796.485,1.67806,1.17383,0.00191,0.46421,0.35868,0.34125,0.09075,2.77518,1.9494,0.00386,8.68198e-05,8.68198e-05,8.68198e-05
102,803.785,1.62358,1.12703,0.00207,0.4622,0.37754,0.35668,0.09896,2.71539,1.93286,0.00378,8.65689e-05,8.65689e-05,8.65689e-05
103,810.406,1.69765,1.19215,0.00184,0.41473,0.37174,0.30696,0.08607,2.6577,1.98554,0.00365,8.63161e-05,8.63161e-05,8.63161e-05
104,818.895,1.69332,1.14,0.00189,0.37377,0.38837,0.26444,0.06682,2.78734,1.98328,0.00385,8.60613e-05,8.60613e-05,8.60613e-05
105,825.665,1.65039,1.10714,0.00194,0.3536,0.42046,0.29161,0.07199,2.77348,1.98112,0.00384,8.58046e-05,8.58046e-05,8.58046e-05
106,832.282,1.70558,1.11517,0.00198,0.43129,0.39049,0.33854,0.08539,2.7827,1.89067,0.00388,8.5546e-05,8.5546e-05,8.5546e-05
107,839.302,1.64036,1.08189,0.0019,0.40358,0.4044,0.32765,0.08021,2.82775,1.94152,0.00397,8.52856e-05,8.52856e-05,8.52856e-05
108,845.808,1.66962,1.10121,0.00197,0.41365,0.39942,0.341,0.08462,2.79733,1.96215,0.00392,8.50232e-05,8.50232e-05,8.50232e-05
109,857.06,1.66895,1.07403,0.00186,0.46281,0.37219,0.36634,0.09309,2.81383,1.85876,0.0039,8.4759e-05,8.4759e-05,8.4759e-05
110,863.696,1.67492,1.16043,0.00182,0.48774,0.40069,0.38927,0.10223,2.75156,1.81637,0.00377,8.4493e-05,8.4493e-05,8.4493e-05
111,870.22,1.62802,1.03228,0.00179,0.4886,0.42458,0.39808,0.10939,2.6742,1.86921,0.0036,8.42252e-05,8.42252e-05,8.42252e-05
