epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,6.4241,2.49137,4.50454,0.00383,0.08419,0.21408,0.02801,0.00691,2.87707,4.09669,0.0038,3.31276e-05,3.31276e-05,0.0669056
2,12.7766,2.27775,3.43687,0.00322,0.10649,0.34167,0.04562,0.01528,2.32429,3.70814,0.00283,6.646e-05,6.646e-05,0.0336056
3,24.8108,2.24044,3.07721,0.0033,0.10683,0.40893,0.06093,0.02216,2.29474,3.48044,0.00282,9.97887e-05,9.97887e-05,0.00030555
4,33.4545,2.21696,3.07902,0.00304,0.10398,0.46988,0.07683,0.02817,2.22732,3.3495,0.00277,9.99875e-05,9.99875e-05,9.99875e-05
5,42.5586,2.13126,2.81272,0.00286,0.09926,0.49956,0.07765,0.02873,2.17612,3.20108,0.0027,9.99778e-05,9.99778e-05,9.99778e-05
6,50.9483,2.16993,2.89697,0.00287,0.10193,0.54732,0.09968,0.03775,2.14984,2.99348,0.00266,9.99653e-05,9.99653e-05,9.99653e-05
7,61.4325,2.12074,2.80526,0.00293,0.09749,0.5692,0.11404,0.04053,2.23183,2.91913,0.00276,9.995e-05,9.995e-05,9.995e-05
8,70.2279,2.10824,2.7277,0.00294,0.08487,0.58557,0.10861,0.03438,2.3357,2.98535,0.00286,9.9932e-05,9.9932e-05,9.9932e-05
9,77.4221,2.08452,2.72955,0.00263,0.08124,0.58387,0.10278,0.03156,2.34046,3.06165,0.00286,9.99112e-05,9.99112e-05,9.99112e-05
10,87.8913,2.09391,2.64475,0.00287,0.07946,0.58152,0.1052,0.03227,2.33062,3.03536,0.00285,9.98876e-05,9.98876e-05,9.98876e-05
11,94.3682,2.05909,2.62903,0.00267,0.08014,0.57874,0.11328,0.03734,2.28783,3.03907,0.00278,9.98613e-05,9.98613e-05,9.98613e-05
12,101.847,2.06483,2.60398,0.00268,0.08208,0.58302,0.11341,0.03832,2.28853,2.97165,0.00281,9.98322e-05,9.98322e-05,9.98322e-05
13,108.438,2.08328,2.55017,0.00279,0.08235,0.59319,0.11263,0.03638,2.31819,2.96091,0.00286,9.98003e-05,9.98003e-05,9.98003e-05
14,114.882,2.08484,2.44886,0.00266,0.07944,0.59613,0.10786,0.03345,2.39479,2.94791,0.00305,9.97656e-05,9.97656e-05,9.97656e-05
15,121.987,1.9748,2.39653,0.00263,0.08647,0.62788,0.12546,0.0393,2.31725,2.89372,0.00292,9.97282e-05,9.97282e-05,9.97282e-05
16,128.451,2.07772,2.45941,0.00259,0.09226,0.66051,0.15352,0.05223,2.24388,2.76902,0.00278,9.96881e-05,9.96881e-05,9.96881e-05
17,135.631,2.07887,2.36815,0.0026,0.08616,0.67006,0.15218,0.04614,2.31866,2.68406,0.00294,9.96452e-05,9.96452e-05,9.96452e-05
18,144.81,2.0131,2.23125,0.00278,0.0896,0.6519,0.14556,0.04016,2.4002,2.7443,0.00306,9.95995e-05,9.95995e-05,9.95995e-05
19,151.812,1.96808,2.11546,0.00265,0.11279,0.58244,0.14761,0.04098,2.39368,2.68849,0.00308,9.95511e-05,9.95511e-05,9.95511e-05
20,158.243,1.9403,2.20385,0.00255,0.09125,0.64709,0.14868,0.04235,2.37209,2.68711,0.00305,9.94999e-05,9.94999e-05,9.94999e-05
21,165.437,1.97848,2.23639,0.00257,0.13469,0.49456,0.12637,0.03346,2.44755,2.71849,0.00321,9.9446e-05,9.9446e-05,9.9446e-05
22,171.902,1.97674,2.25816,0.0024,0.20368,0.4014,0.13506,0.0391,2.40255,2.5953,0.00308,9.93893e-05,9.93893e-05,9.93893e-05
23,178.999,1.99095,2.2585,0.00268,0.18981,0.38311,0.12117,0.03471,2.39873,2.65213,0.00301,9.93299e-05,9.93299e-05,9.93299e-05
24,185.929,1.99945,2.25466,0.00267,0.08103,0.61516,0.10789,0.02785,2.50087,2.76441,0.00316,9.92678e-05,9.92678e-05,9.92678e-05
