image_path,label
resultados/03_compose_synthetic/data/synthetic/PE/PE_0000.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0001.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0002.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0003.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0004.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0005.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0006.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0007.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0008.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0009.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0010.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0011.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0012.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0013.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0014.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0015.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0016.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0017.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0018.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0019.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0020.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0021.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0022.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0023.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0024.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0025.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0026.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0027.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0028.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0029.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0030.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0031.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0032.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0033.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0034.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0035.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0036.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0037.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0038.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0039.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0040.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0041.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0042.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0043.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0044.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0045.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0046.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0047.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0048.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0049.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0050.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0051.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0052.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0053.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0054.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0055.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0056.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0057.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0058.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0059.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0060.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0061.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0062.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0063.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0064.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0065.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0066.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0067.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0068.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0069.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0070.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0071.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0072.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0073.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0074.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0075.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0076.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0077.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0078.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0079.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0080.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0081.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0082.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0083.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0084.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0085.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0086.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0087.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0088.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0089.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0090.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0091.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0092.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0093.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0094.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0095.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0096.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0097.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0098.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0099.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0100.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0101.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0102.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0103.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0104.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0105.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0106.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0107.png,PE
resultados/03_compose_synthetic/data/synthetic/PE/PE_0108.png,PE
