epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,6.38471,2.46449,4.18804,0.0037,0.12899,0.13335,0.0094,0.0045,2.20548,4.2236,0.00256,3.31276e-05,3.31276e-05,0.0669056
2,12.7613,2.28846,3.17228,0.00329,0.12114,0.32565,0.03748,0.01477,2.23887,3.73425,0.00267,6.646e-05,6.646e-05,0.0336056
3,19.4597,2.28861,2.87194,0.00302,0.09285,0.44599,0.06292,0.02543,2.04138,3.40854,0.00236,9.97887e-05,9.97887e-05,0.00030555
4,25.9946,2.28139,2.82427,0.00304,0.08912,0.48632,0.07234,0.02683,2.09005,3.32724,0.00246,9.99875e-05,9.99875e-05,9.99875e-05
5,32.4768,2.12977,2.69958,0.00292,0.08045,0.49951,0.07093,0.02304,2.2335,3.22935,0.00274,9.99778e-05,9.99778e-05,9.99778e-05
6,38.9854,2.15906,2.70377,0.00289,0.08185,0.54237,0.07861,0.02467,2.27307,3.07354,0.00279,9.99653e-05,9.99653e-05,9.99653e-05
7,45.407,2.17254,2.71983,0.00306,0.08351,0.57462,0.08752,0.02869,2.21756,2.98918,0.00265,9.995e-05,9.995e-05,9.995e-05
8,55.583,2.07019,2.55466,0.00277,0.08522,0.58514,0.09839,0.03344,2.18534,2.97954,0.0026,9.9932e-05,9.9932e-05,9.9932e-05
9,62.2007,2.07374,2.51079,0.00279,0.08223,0.60011,0.10178,0.0346,2.21039,2.90001,0.00266,9.99112e-05,9.99112e-05,9.99112e-05
10,69.9669,2.06218,2.42075,0.0029,0.08165,0.64755,0.1092,0.03523,2.28495,2.77054,0.00282,9.98876e-05,9.98876e-05,9.98876e-05
11,78.143,2.05895,2.38967,0.00284,0.08571,0.64495,0.10956,0.03419,2.30376,2.83074,0.00289,9.98613e-05,9.98613e-05,9.98613e-05
12,84.7408,1.98773,2.49136,0.00267,0.08092,0.62138,0.09538,0.02902,2.37106,2.83016,0.00302,9.98322e-05,9.98322e-05,9.98322e-05
13,91.1913,2.02793,2.40583,0.00259,0.08218,0.62031,0.09357,0.02872,2.36782,2.83812,0.00301,9.98003e-05,9.98003e-05,9.98003e-05
14,98.1663,1.98528,2.30687,0.00255,0.08124,0.62758,0.09756,0.03028,2.36603,2.80391,0.00299,9.97656e-05,9.97656e-05,9.97656e-05
15,104.734,2.00451,2.33908,0.00263,0.08587,0.63476,0.10458,0.03289,2.35507,2.77832,0.00295,9.97282e-05,9.97282e-05,9.97282e-05
16,111.253,2.09425,2.29603,0.00288,0.08701,0.6332,0.10311,0.02874,2.45842,2.76845,0.00313,9.96881e-05,9.96881e-05,9.96881e-05
