source_image,confidence,box_area_norm,best_iou_other_class_gt,overlapping_class
PET_PET-B-2-5000X.png,0.8246204257011414,0.001115311360412458,0.7238264922565119,PET
PET_PET-B-2-5000X.png,0.8099923729896545,0.0020510374728413203,0.6999231925418533,PET
PET_PET-B-2-5000X.png,0.778657853603363,0.001193229901655286,0.5592399659656976,PET
PET_PET-B-2-5000X.png,0.7740557789802551,0.0011404015391288645,0.7321516409495813,PET
PET_PET-B-2-5000X.png,0.7711585760116577,0.0011989684570077469,0.8063572004535188,PET
PET_PET-B-2-5000X.png,0.7446913123130798,0.0011741584165369545,0.7211161032282252,PET
PET_PET-B-2-5000X.png,0.737431526184082,0.0009028168577242468,0.7887451884340941,PET
PET_PET-B-2-5000X.png,0.7289963364601135,0.0010101544695165405,0.612287483502942,PET
PET_PET-B-2-5000X.png,0.6933205127716064,0.0006570170753184357,0.6936225670563242,PET
PET_PET-B-2-5000X.png,0.6898098587989807,0.00033163288412652037,0.0,
PET_PET-B-2-5000X.png,0.6871471405029297,0.0007029996564142494,0.4074681790709158,PET
PET_PET-B-2-5000X.png,0.655433177947998,0.00035347784621990284,0.7045069644600211,PET
PET_PET-B-2-5000X.png,0.6412146091461182,0.00040477923136677423,0.6493849627328917,PET
PET_PET-B-2-5000X.png,0.6352208852767944,0.0004508097648507222,0.6498722619956216,PET
PET_PET-B-2-5000X.png,0.6244675517082214,0.000402924969275773,0.6523734564671674,PET
PET_PET-B-2-5000X.png,0.6194413900375366,0.00017532055226183728,0.6637410398985635,PET
PET_PET-B-2-5000X.png,0.6167499423027039,0.00047898135926516256,0.6184468094307335,PET
PET_PET-B-2-5000X.png,0.6049389839172363,0.0005695199056405424,0.5658832510097668,PET
PET_PET-B-2-5000X.png,0.5959733128547668,0.000556949562110276,0.7778772489150078,PET
PET_PET-B-2-5000X.png,0.5938604474067688,0.0005183786772848483,0.7710938745187875,PET
PET_PET-B-2-5000X.png,0.5904040336608887,0.0003022620989895586,0.823879665347304,PET
PET_PET-B-2-5000X.png,0.5816428661346436,0.0002932918600436096,0.7991186748962079,PET
PET_PET-B-2-5000X.png,0.5765496492385864,0.00027039104330469857,0.6741605946929864,PET
PET_PET-B-2-5000X.png,0.5648267269134521,0.0001719123425118596,0.47336686393649297,PET
PET_PET-B-2-5000X.png,0.5588492751121521,0.00023250043248329648,0.7280631573226354,PET
PET_PET-B-2-5000X.png,0.5531767010688782,0.00017836642202155418,0.6524066751381669,PET
PET_PET-B-2-5000X.png,0.5433223843574524,0.00025825170236809454,0.705852076617718,PET
PET_PET-B-2-5000X.png,0.542382538318634,0.00012007284569601021,0.6777352633292205,PET
PET_PET-B-2-5000X.png,0.5345304012298584,0.0003546432392090537,0.7848306809734895,PET
PET_PET-B-2-5000X.png,0.5337114930152893,0.00014784997519958173,0.5918698745006703,PET
PET_PET-B-2-5000X.png,0.5277027487754822,0.0002015644081681482,0.7873349311501017,PET
PET_PET-B-2-5000X.png,0.5200712084770203,0.0003353313383407415,0.4586601627776435,PET
PET_PET-B-2-5000X.png,0.5144717693328857,0.0007717079104713775,0.5848499365321415,PET
PET_PET-B-2-5000X.png,0.5125524997711182,0.00024019431671831623,0.5725886805620535,PET
PET_PET-B-2-5000X.png,0.5060970187187195,0.00018297516049642582,0.640455793124239,PET
PET_PET-B-2-5000X.png,0.5004575252532959,0.0005604391908991601,0.6106104451368997,PET
PET_PET-B-2-5000X.png,0.4994666278362274,0.00019364292624231893,0.0,
PET_PET-B-2-5000X.png,0.49245914816856384,0.00011205438183727285,0.7711781661327776,PET
PET_PET-B-2-5000X.png,0.48449084162712097,0.00020253815582843042,0.5785946707914438,PET
PET_PET-B-2-5000X.png,0.4807720184326172,0.0008431102579879735,0.5294698533608235,PET
PET_PET-B-2-5000X.png,0.47805526852607727,0.0002550758268056086,0.6221189514375296,PET
PET_PET-B-2-5000X.png,0.47225421667099,0.0001564512050246473,0.5617766009755447,PET
PET_PET-B-2-5000X.png,0.4657956063747406,0.0009243280404916731,0.0,
PET_PET-B-2-5000X.png,0.46478813886642456,0.00044331335939631347,0.6241252613414682,PET
PET_PET-B-2-5000X.png,0.4635310173034668,0.00015018846114647506,0.0,
PET_PET-B-2-5000X.png,0.4609867036342621,0.00011611322607180341,0.6159730007136678,PET
PET_PET-B-2-5000X.png,0.4557369649410248,0.00019935020580078347,0.5837337748050151,PET
PET_PET-B-2-5000X.png,0.4556974470615387,0.00019872316872351805,0.6757201668180548,PET
PET_PET-B-2-5000X.png,0.4534083604812622,0.00010545410677877953,0.0,
PET_PET-B-2-5000X.png,0.4484557509422302,0.0003088999476691849,0.6744497606045373,PET
PET_PET-B-2-5000X.png,0.4464433491230011,0.0002799266796455413,0.0,
PET_PET-B-2-5000X.png,0.444773405790329,0.00034959918941638077,0.6937263518142908,PET
PET_PET-B-2-5000X.png,0.43938809633255005,0.0005523441281002306,0.0,
PET_PET-B-2-5000X.png,0.4378279149532318,0.000271756422080216,0.5390646080603708,PET
PET_PET-B-2-5000X.png,0.43655142188072205,0.0003782228493325116,0.0,
PET_PET-B-2-5000X.png,0.39152997732162476,0.00014756579596792108,0.0,
PET_PET-B-2-5000X.png,0.381641685962677,0.0006560630691637926,0.7442691561165996,PET
PET_PET-B-2-5000X.png,0.3778204321861267,0.0005134777749920735,0.0,
PET_PET-B-2-5000X.png,0.37628328800201416,0.0001406301636401016,0.6325227254783138,PET
PET_PET-B-2-5000X.png,0.37439388036727905,0.00014538915252160223,0.72763409438655,PET
PET_PET-B-2-5000X.png,0.37209734320640564,0.00016811966211662365,0.5988610690303192,PET
PET_PET-B-2-5000X.png,0.35767072439193726,0.00023773249832629518,0.33890506502723206,PET
PET_PET-B-2-5000X.png,0.34127092361450195,0.0007553220826230245,0.6682487487837337,PET
PET_PET-B-2-5000X.png,0.3291463553905487,0.00029086896279636673,0.7050622865596735,PET
PET_PET-B-2-5000X.png,0.32519838213920593,0.0002218603559473801,0.4768542358051062,PET
PET_PET-B-2-5000X.png,0.3170525133609772,0.00047914588773210196,0.6628451876912126,PET
PET_PET-B-2-5000X.png,0.3054024875164032,0.0005203156255977604,0.4879790583768325,PET
PET_PET-B-2-5000X.png,0.30363035202026367,0.00024216961950656926,0.6810489427774411,PET
PET_PET-B-2-5000X.png,0.29417139291763306,0.0002854764106887349,0.6300040513700635,PET
PET_PET-B-2-5000X.png,0.2905063331127167,0.00011518705026366169,0.7064821914001258,PET
PET_PET-B-2-5000X.png,0.2719603478908539,0.0005382424960771459,0.2993703606001576,PET
PET_PET-B-2-5000X.png,0.2691299021244049,0.00014735234197511696,0.6682625476189208,PET
PET_PET-B-2-5000X.png,0.26597410440444946,0.00016767794901511478,0.5872570165742124,PET
PET_PET-B-2-5000X.png,0.26042959094047546,0.00015073206202941946,0.0,
PET_PET-B-2-5000X.png,0.2556074857711792,0.0003551302686537383,0.6049804792343835,PET
PET_PET-B-2-5000X.png,0.23845180869102478,0.00011224096553239526,0.78305303913026,PET
PET_PET-B-2-5000X.png,0.23734167218208313,0.0018232430928905312,0.5927924132833237,PET
PET_PET-B-2-5000X.png,0.22079388797283173,0.0001368306879294323,0.49956814307424563,PET
PET_PET-B-2-5000X.png,0.20083436369895935,0.00016177258659354267,0.6979294995013621,PET
PET_PET-B-2-5000X.png,0.1924428641796112,0.0003109838352096024,0.6803567466977934,PET
PET_PET-B-2-5000X.png,0.1849532574415207,0.0002486736090031627,0.0,
PET_PET-B-2-5000X.png,0.17811396718025208,0.00021608519658911974,0.42176893639848484,PET
PET_PET-B-2-5000X.png,0.1779206246137619,0.00012178620901295289,0.5412404680367252,PET
PET_PET-B-2-5000X.png,0.17480288445949554,6.2059486748088e-05,0.6955759040390878,PET
PET_PET-B-2-5000X.png,0.17094601690769196,0.0005283015668927268,0.16971273465268788,PET
PET_PET-B-2-5000X.png,0.16936300694942474,0.0002225221814478573,0.4156040042375101,PET
PET_PET-B-2-5000X.png,0.1685524731874466,0.0007226812096443306,0.28377757615948607,PET
PET_PET-B-2-5000X.png,0.15873867273330688,0.0003426656604460732,0.626478016187441,PET
PET_PET-B-2-5000X.png,0.15481486916542053,0.00014740221444905425,0.0,
PET_PET-B-2-5000X.png,0.15058830380439758,6.780844839037551e-05,0.6032769756616667,PET
PE_PE 1000-1.png,0.8152479529380798,0.0006768443925526905,0.0,
PE_PE 1000-1.png,0.5143898129463196,8.05804907675641e-05,0.0,
PE_PE 1000-1.png,0.39211246371269226,8.649479206601049e-05,0.0,
PE_PE 1000-1.png,0.35125455260276794,5.884984575459384e-05,0.0,
PE_PE 1000-1.png,0.34996283054351807,9.07404102053988e-05,0.0,
PE_PE 1000-1.png,0.278994083404541,6.4447585380852e-05,0.0,
PE_PE 1000-1.png,0.24422912299633026,6.356577753952782e-05,0.0,
PE_PE 1000-1.png,0.2361573576927185,5.806069353639032e-05,0.0,
PE_PE 1000-1.png,0.21590465307235718,4.3395750170915906e-05,0.0,
PE_PE 1000-1.png,0.21024274826049805,3.73413842332108e-05,0.0,
PE_PE 1000-1.png,0.1955631673336029,3.747786143890153e-05,0.0,
PE_PE 1000-1.png,0.1801023781299591,4.153575335872498e-05,0.0,
PE_PE 1000-1.png,0.17616459727287292,4.17976189237379e-05,0.0,
PE_PE 1000-1.png,0.1666824370622635,5.395044108809088e-05,0.0,
PE_PE 1000-1.png,0.16107980906963348,4.443772559170611e-05,0.0,
PE_PE 1000-1.png,0.1581282615661621,4.794859690264274e-05,0.0,
PE_PE 1000X.png,0.5152471661567688,7.698535068508741e-05,0.0,
PE_PE 1000X.png,0.4711305797100067,0.0001268979503436185,0.0,
PE_PE 1000X.png,0.3702147305011749,6.10937346815869e-05,0.0,
PE_PE 1000X.png,0.366558700799942,0.00012064200213596145,0.0,
PE_PE 1000X.png,0.3591911494731903,0.0001452328846630735,0.0,
PE_PE 1000X.png,0.342108815908432,8.537032088497654e-05,0.0,
PE_PE 1000X.png,0.34157755970954895,7.960463114310794e-05,0.0,
PE_PE 1000X.png,0.31390315294265747,8.507852256798288e-05,0.0,
PE_PE 1000X.png,0.3050515949726105,5.505336564965546e-05,0.0,
PE_PE 1000X.png,0.282497763633728,3.940948819339004e-05,0.0,
PE_PE 1000X.png,0.26506492495536804,0.0001422611930744703,0.0,
PE_PE 1000X.png,0.2649647295475006,5.124830346782498e-05,0.0,
PE_PE 1000X.png,0.26092225313186646,4.463292821734892e-05,0.0,
PE_PE 1000X.png,0.26076504588127136,4.772614070589043e-05,0.0,
PE_PE 1000X.png,0.2518240213394165,3.666575835268304e-05,0.0,
PE_PE 1000X.png,0.2467731237411499,8.151986353216974e-05,0.0,
PE_PE 1000X.png,0.23389780521392822,4.556721493827354e-05,0.0,
PE_PE 1000X.png,0.23281234502792358,6.359413377746629e-05,0.0,
PE_PE 1000X.png,0.23072156310081482,0.0002008308742843686,0.0,
PE_PE 1000X.png,0.2269219607114792,5.730564055284048e-05,0.0,
PE_PE 1000X.png,0.2254418432712555,3.385992731637088e-05,0.0,
PE_PE 1000X.png,0.2237895429134369,5.7134360746810366e-05,0.0,
PE_PE 1000X.png,0.22243833541870117,3.9278939821087983e-05,0.0,
PE_PE 1000X.png,0.22167950868606567,4.7884039895507156e-05,0.0,
PE_PE 1000X.png,0.2173764556646347,3.3526780031631155e-05,0.0,
PE_PE 1000X.png,0.2057606428861618,3.9388518097590955e-05,0.0,
PE_PE 1000X.png,0.19663579761981964,4.3103993851521714e-05,0.0,
PE_PE 1000X.png,0.19495148956775665,4.1970485314474595e-05,0.0,
PE_PE 1000X.png,0.19328206777572632,4.2674647120293236e-05,0.0,
PE_PE 1000X.png,0.19068214297294617,4.508068423092482e-05,0.0,
PE_PE 1000X.png,0.1873086392879486,0.00010574772159088752,0.0,
PE_PE 1000X.png,0.1871492862701416,4.54419651941862e-05,0.0,
PE_PE 1000X.png,0.18092666566371918,6.502351893232118e-05,0.0,
PE_PE 1000X.png,0.18016934394836426,4.7173022298920845e-05,0.0,
PE_PE 1000X.png,0.17778360843658447,4.011671769148961e-05,0.0,
PE_PE 1000X.png,0.1744341105222702,3.760617567725906e-05,0.0,
PE_PE 1000X.png,0.1726842075586319,5.578542425913232e-05,0.0,
PE_PE 1000X.png,0.16751623153686523,2.9485900995496195e-05,0.0,
PE_PE 1000X.png,0.16731511056423187,7.924869115136345e-05,0.0,
PE_PE 1000X.png,0.16652676463127136,3.144065965898335e-05,0.0,
PE_PE 1000X.png,0.16542285680770874,7.088516736985185e-05,0.0,
PE_PE 1000X.png,0.16444288194179535,4.252678481861949e-05,0.0,
PE_PE 1000X.png,0.16407257318496704,3.228905759897316e-05,0.0,
PE_PE 1000X.png,0.1570073515176773,2.9509728380313995e-05,0.0,
PE_PE 1000X.png,0.1564381718635559,3.475954826626549e-05,0.0,
PE_PE 1000X.png,0.1549900770187378,6.355097836906983e-05,0.0,
PE_PE 1000X.png,0.15446510910987854,5.766631025229193e-05,0.0,
PE_PE 1000X.png,0.15413519740104675,3.958784395005447e-05,0.0,
PE_PE 1000X.png,0.15274430811405182,3.757421835871355e-05,0.0,
PE_PE 1000X.png,0.15231172740459442,3.84860762627189e-05,0.0,
PE_PE 1000X.png,0.15155993402004242,3.776141609705519e-05,0.0,
PE_PE 1000X.png,0.15040025115013123,3.331197048076717e-05,0.0,
PS_PS-200x-2.png,0.20763811469078064,0.0006901806826438891,0.707468752455889,PS
