epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,6.27378,2.51124,4.96104,0.00392,0.06174,0.18253,0.00692,0.00224,2.18815,4.32796,0.00279,3.31276e-05,3.31276e-05,0.0669056
2,12.5453,2.33521,3.44146,0.00331,0.09425,0.26721,0.01761,0.00491,2.68174,4.04979,0.00345,6.646e-05,6.646e-05,0.0336056
3,19.0539,2.31539,3.36,0.00324,0.11418,0.32697,0.02674,0.00802,2.64885,3.86774,0.00343,9.97887e-05,9.97887e-05,0.00030555
4,25.5264,2.17482,3.05712,0.00304,0.07787,0.37202,0.0373,0.01306,2.42826,3.63916,0.00311,9.99875e-05,9.99875e-05,9.99875e-05
5,32.1202,2.17466,2.97613,0.00302,0.11008,0.39725,0.04053,0.01376,2.42837,3.53502,0.00319,9.99778e-05,9.99778e-05,9.99778e-05
6,38.674,2.14574,2.88635,0.00295,0.05934,0.42928,0.04375,0.01322,2.55651,3.36013,0.00335,9.99653e-05,9.99653e-05,9.99653e-05
7,45.0606,2.20186,2.79993,0.003,0.07388,0.46419,0.05148,0.01691,2.40582,3.24383,0.00313,9.995e-05,9.995e-05,9.995e-05
8,51.5296,2.14797,2.84085,0.00271,0.07375,0.50463,0.06022,0.02147,2.24266,3.07142,0.00285,9.9932e-05,9.9932e-05,9.9932e-05
9,58.8347,2.07567,2.67257,0.00289,0.07681,0.51223,0.06254,0.02038,2.3249,2.98543,0.00299,9.99112e-05,9.99112e-05,9.99112e-05
10,65.2587,2.09527,2.57951,0.00253,0.08193,0.55661,0.06824,0.01875,2.4801,2.94288,0.00327,9.98876e-05,9.98876e-05,9.98876e-05
11,71.6885,2.07346,2.55236,0.00275,0.08613,0.61979,0.09068,0.0264,2.41368,2.83523,0.00315,9.98613e-05,9.98613e-05,9.98613e-05
12,80.8394,2.07972,2.63135,0.00268,0.08705,0.6552,0.10816,0.03233,2.3705,2.8756,0.00306,9.98322e-05,9.98322e-05,9.98322e-05
